SolSuspensaoTotais,NitrogenioTotal,Clorofila,SolTotais,DBO,FosforoTotal,Nitratos,SolDissolvidosTotais,NitrogenioAmoniacal,Turbidez,Delta T,OD,TempAr,TempAmostra,pH,Município,Primavera,Inverno,Outono,Verao,Classe,Nome do manancial superficial,Date_x,Categoria do manancial superficial,Unidade,Resultado,UF,Região Geográfica,Outlier
50.0,1.0,1.090000033378601,254.0,3.0,0.0199999995529651,0.0199999995529651,225.0,0.4000000059604645,1.2999999523162842,5.700000762939453,7.260000228881836,30.0,24.299999237060547,8.0,VARGINHA,0,0,1,0,0,RIO VERDE,2021-05-17,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
50.0,1.0,5.010000228881836,1134.0,2.0,0.0199999995529651,0.1899999976158142,1130.0,0.4000000059604645,2.5999999046325684,-1.1000003814697266,9.399999618530272,30.0,31.100000381469727,7.409999847412109,TRES CORACOES,0,0,0,1,0,RIO VERDE,2017-02-23,rio,Cylindrospermopsis sp.,0.0,MG,SUDESTE,1
58.0,1.0,1.7899999618530271,180.0,3.0,0.0199999995529651,0.1500000059604644,118.0,0.4000000059604645,61.900001525878906,-2.700000762939453,6.099999904632568,23.0,25.700000762939453,7.730000019073486,TANHACU,0,0,0,1,0,RIO OURIVES,2020-02-12,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,1.409999966621399,52.0,3.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,2.0999999046325684,2.3999996185302734,6.119999885559082,31.0,28.600000381469727,6.739999771118164,SAO JOSE DA VITORIA,1,0,0,0,0,RIO DE UNA,2019-11-20,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.7099999785423279,84.0,3.0,0.0199999995529651,0.0199999995529651,50.0,0.4000000059604645,3.200000047683716,5.399999618530273,6.730000019073486,30.0,24.600000381469727,4.539999961853027,SAO JOSE DA VITORIA,0,1,0,0,0,RIO DE UNA,2019-09-18,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,2.450000047683716,88.0,3.0,0.0199999995529651,0.0199999995529651,64.0,0.4000000059604645,11.5,5.299999237060547,5.650000095367432,30.0,24.700000762939453,7.25,UNA,1,0,0,0,0,RIO DOCE,2019-10-17,riacho,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
244.0,1.100000023841858,3.049999952316284,366.0,2.0,0.0799999982118606,0.0199999995529651,100.0,0.699999988079071,89.0,1.7999992370605469,5.360000133514404,27.0,25.200000762939453,5.619999885559082,UNA,1,0,0,0,0,RIO DOCE,2018-11-05,riacho,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
244.0,1.100000023841858,3.049999952316284,366.0,2.0,0.0799999982118606,0.0199999995529651,100.0,0.699999988079071,89.0,1.7999992370605469,5.360000133514404,27.0,25.200000762939453,5.619999885559082,UNA,1,0,0,0,0,RIO DOCE,2018-11-12,riacho,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
74.0,2.0,0.699999988079071,208.0,3.0,0.0299999993294477,0.0199999995529651,130.0,0.699999988079071,55.0,0.39999961853027344,4.860000133514404,26.0,25.600000381469727,5.090000152587891,UNA,0,0,1,0,0,RIO DOCE,2018-05-02,riacho,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.9300000071525574,60.0,3.0,0.0299999993294477,0.0199999995529651,66.0,0.4000000059604645,1.5,3.799999237060547,7.670000076293945,29.0,25.200000762939453,7.059999942779541,ITANHEM,1,0,0,0,0,RIO AGUA PRETA,2021-10-11,rio,Cylindrospermopsis sp.,8800.0,BA,NORDESTE,1
50.0,1.0,0.4000000059604645,88.0,3.0,0.0199999995529651,0.0299999993294477,50.0,0.4000000059604645,4.199999809265137,4.899999618530273,8.140000343322754,26.0,21.100000381469727,6.980000019073486,ITAJU DO COLONIA,0,1,0,0,0,RIO AGUA PRETA,2019-07-19,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.7599999904632568,104.0,2.0,0.050000000745058,0.0299999993294477,70.0,0.4000000059604645,4.300000190734863,1.5,7.849999904632568,26.5,25.0,7.019999980926514,ITAJU DO COLONIA,0,0,1,0,0,RIO AGUA PRETA,2018-04-16,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
50.0,1.0,0.7599999904632568,62.0,3.0,0.050000000745058,0.0199999995529651,50.0,0.4000000059604645,9.5,7.799999237060547,8.149999618530273,32.0,24.200000762939453,7.170000076293945,ITANHEM,1,0,0,0,0,RIO AGUA PRETA,2019-10-14,rio,Cylindrospermopsis sp.,0.0,BA,NORDESTE,1
