Delta T,TempAr,SolSuspensaoTotais,SolDissolvidosTotais,TempAmostra,SolTotais,pH,Turbidez,OD,Resultado,Unidade,Categoria do manancial superficial,UF,Nome do manancial superficial,Date_x,Município,Classe,Verao,Outono,Inverno,Primavera,Região Geográfica,Outlier
-0.7999992370605469,21.5,37.0,115.0,22.299999237060547,152.0,6.900000095367432,34.20000076293945,2.5999999046325684,0.0,Microcystis sp.,rio,MG,RIO XOPOTO,2020-05-26,ALTO RIO DOCE,0,0,1,0,0,SUDESTE,1
2.6999988555908203,25.299999237060547,70.0,118.0,22.600000381469727,188.0,7.0,81.4000015258789,6.699999809265137,0.0,Microcystis sp.,rio,MG,RIO XOPOTO,2020-05-26,ALTO RIO DOCE,0,0,1,0,0,SUDESTE,1
-0.10000038146972656,24.0,61.0,152.0,24.100000381469727,213.0,7.300000190734863,63.09999847412109,2.400000095367432,0.0,Microcystis sp.,rio,MG,RIO XOPOTO,2019-11-25,ALTO RIO DOCE,0,0,0,0,1,SUDESTE,1
-3.1000003814697195,20.89999961853028,134.0,97.0,24.0,231.0,6.400000095367432,147.0,7.800000190734863,0.0,Microcystis sp.,rio,MG,RIO XOPOTO,2018-11-28,ALTO RIO DOCE,0,0,0,0,1,SUDESTE,1
8.49999809265136,36.09999847412109,45.0,124.0,27.600000381469727,169.0,6.900000095367432,39.70000076293945,2.400000095367432,0.0,Microcystis sp.,rio,MG,RIO XOPOTO,2020-02-18,ALTO RIO DOCE,0,1,0,0,0,SUDESTE,1
2.5,31.100000381469727,67.0,45.0,28.600000381469727,112.0,6.900000095367432,74.4000015258789,7.599999904632568,0.0,Microcystis sp.,rio,MG,RIO XOPOTO,2020-01-21,ALTO RIO DOCE,0,1,0,0,0,SUDESTE,1
1.3999996185302805,29.39999961853028,46.0,162.0,28.0,208.0,6.800000190734863,42.400001525878906,2.0,0.0,Microcystis sp.,rio,MG,RIO XOPOTO,2018-11-28,ALTO RIO DOCE,0,0,0,0,1,SUDESTE,1
3.4000015258789062,29.200000762939453,65.0,54.0,25.799999237060547,119.0,6.900000095367432,95.3000030517578,7.5,0.0,Microcystis sp.,rio,MG,RIO XOPOTO,2018-01-22,ALTO RIO DOCE,0,1,0,0,0,SUDESTE,1
4.799999237060554,29.89999961853028,17.0,30.0,25.100000381469727,47.0,6.900000095367432,8.119999885559082,8.399999618530273,0.0,Microcystis sp.,rio,MG,RIO XOPOTO,2019-10-21,ALTO RIO DOCE,0,0,0,0,1,SUDESTE,1
1.5,27.5,45.0,85.0,26.0,130.0,6.300000190734863,136.0,7.0,0.0,Microcystis sp.,rio,MG,PIRANGA,2019-12-19,PIRANGA,0,0,0,0,1,SUDESTE,1
5.399999618530266,31.799999237060547,10.0,47.0,26.39999961853028,57.0,7.0,7.340000152587891,7.400000095367432,0.0,Microcystis sp.,rio,MG,PIRANGA,2019-10-21,PIRANGA,0,0,0,0,1,SUDESTE,1
5.5,30.89999961853028,7.0,33.0,25.39999961853028,40.0,6.900000095367432,12.300000190734863,8.0,0.0,Microcystis sp.,rio,MG,PIRANGA,2019-10-21,PIRANGA,0,0,0,0,1,SUDESTE,1
4.799999237060547,28.0,12.0,41.0,23.200000762939453,53.0,6.900000095367432,5.75,8.300000190734863,0.0,Microcystis sp.,rio,MG,PIRANGA,2019-10-21,PIRANGA,0,0,0,0,1,SUDESTE,1
4.30000114440918,21.200000762939453,23.0,47.0,16.899999618530273,70.0,6.5,7.179999828338623,9.0,0.0,Microcystis sp.,rio,MG,RIO BAEPENDI,2020-05-25,CAXAMBU,0,0,1,0,0,SUDESTE,1
3.6000003814697337,27.89999961853028,11.0,141.0,24.299999237060547,152.0,7.099999904632568,5.170000076293945,2.400000095367432,0.0,Microcystis sp.,rio,MG,RIO UBERABA,2018-10-05,UBERABA,0,0,0,0,1,SUDESTE,1
9.39999771118164,33.099998474121094,4.0,61.0,23.700000762939453,65.0,7.400000095367432,2.740000009536743,7.400000095367432,0.0,Microcystis sp.,rio,MG,RIO UBERABA,2018-10-05,UBERABA,0,0,0,0,1,SUDESTE,1
10.0,37.29999923706055,11.0,82.0,27.299999237060547,93.0,7.0,10.300000190734863,6.199999809265137,0.0,Microcystis sp.,rio,MG,RIO UBERABA,2018-10-05,UBERABA,0,0,0,0,1,SUDESTE,1
1.7000007629394531,25.700000762939453,4.0,54.0,24.0,58.0,7.0,12.5,6.800000190734863,0.0,Microcystis sp.,rio,MG,RIO UBERABA,2018-04-02,UBERABA,0,0,1,0,0,SUDESTE,1
5.399999618530273,29.0,73.0,65.0,23.600000381469727,138.0,7.0,125.0,7.5,0.0,Microcystis sp.,rio,MG,RIO UBERABA,2018-04-02,UBERABA,0,0,1,0,0,SUDESTE,1
-0.40000152587890625,25.799999237060547,5.0,116.0,26.200000762939453,121.0,6.900000095367432,47.900001525878906,7.099999904632568,0.0,Microcystis sp.,rio,MG,RIO UBERABA,2018-04-02,UBERABA,0,0,1,0,0,SUDESTE,1
5.6000003814697195,31.0,50.0,112.0,25.39999961853028,257.0,6.550000190734863,56.400001525878906,1.0,0.0,Microcystis sp.,rio,MG,RIO FORMIGA,2021-11-16,FORMIGA,0,0,0,0,1,SUDESTE,1
1.8999996185302734,31.0,16.0,80.0,29.100000381469727,96.0,7.300000190734863,18.0,7.099999904632568,0.0,Microcystis sp.,rio,MG,PARA,2018-02-28,NOVA SERRANA,0,1,0,0,0,SUDESTE,1
0.5,22.0,8.0,48.0,21.5,56.0,7.0,10.5,8.800000190734863,0.0,Microcystis sp.,rio,MG,PARA,2018-11-17,NOVA SERRANA,0,0,0,0,1,SUDESTE,1
2.5,24.0,9.0,42.0,21.5,51.0,6.199999809265137,3.400000095367432,7.800000190734863,0.0,Microcystis sp.,rio,MG,PARA,2019-09-05,NOVA SERRANA,0,0,0,1,0,SUDESTE,1
-0.20000076293945312,19.0,18.0,141.0,19.200000762939453,159.0,7.5,3.7699999809265137,7.099999904632568,0.0,Microcystis sp.,rio,MG,PARA,2019-09-05,NOVA SERRANA,0,0,0,1,0,SUDESTE,1
