Região Geográfica,UF,Município,Código IBGE,Date,Data_da_coleta,Categoria do manancial superficial,Unidade,Resultado,Nome_Rio_sisagua,Estacao_Codigo_split,Nome_Municipio,Profundidade,TempAr,TempAmostra,pH,Turbidez,CondutividadeEletrica,CondutividadeEspecifica,DBO,OD,SolTotais,SolSuspensaoTotais,SolDissolvidosTotais,NitrogenioTotal,NitrogenioAmoniacal,Nitratos,FosforoTotal,Ano,Clorofila,ODsaturacao,DescargaLiquida,OrtofosfatoTotal,Latitude,Longitude,Altitude,Classe
SUDESTE,SP,SAO JOAO DA BOA VISTA,354910,2017-12-04,2017-12-17,rio,Dolichospermum sp.,9,RIO JAGUARI-MIRIM,21003000,AGUAI,,,25.0,7.300000190734863,90.0,,,2.0,6.900000095367432,,132.0,100.0,,0.1000000014901161,,,2017,1.0,,,,-21.9906,-47.0386,603.0,0
SUDESTE,SP,SAO JOAO DA BOA VISTA,354910,2017-12-04,2017-12-17,rio,Dolichospermum sp.,9,RIO JAGUARI-MIRIM,21482000,SANTO ANTONIO DO JARDIM,,,22.299999237060547,7.0,33.0,,,5.0,5.0,,100.0,100.0,,0.4099999964237213,,,2017,1.0,,,,-22.0922,-46.6519,,0
SUDESTE,SP,ITATIBA,352340,2017-09-11,2017-09-18,rio,Pseudoanabaena sp.,70,RIO ATIBAINHA,21072000,BOM JESUS DOS PERDOES,,,20.899999618530277,6.400000095367432,12.0,,,3.0,2.0999999046325684,,100.0,100.0,,0.5,,,2017,,,,,-23.1133,-46.4792,755.0,0
SUDESTE,SP,ITATIBA,352340,2017-09-14,2017-09-18,rio,Pseudoanabaena sp.,70,RIO ATIBAINHA,21327000,NAZARE PAULISTA,,,,,2.0,,,3.0,9.149999618530272,,100.0,100.0,,0.1000000014901161,,,2017,,,,,-23.2097,-46.3861,788.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-04-12,2017-04-24,rio,Cylindrospermopsis sp.,912,RIO TIETE,21074000,BORACEIA,0.1000000014901161,,26.200000762939453,6.5,,,,3.900000095367432,,,,,,,,0.0879999995231628,2017,1.600000023841858,,,,-22.1533,-48.7525,426.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-04-11,2017-04-24,rio,Cylindrospermopsis sp.,912,RIO TIETE,21198000,IBITINGA,0.1000000014901161,,27.600000381469727,6.099999904632568,,,,1.7000000476837158,,,,,,,,0.0390000008046627,2017,1.600000023841858,,,,-21.7575,-48.9914,407.5,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-04-12,2017-04-24,rio,Cylindrospermopsis sp.,912,RIO TIETE,21369000,PEDERNEIRAS,0.1000000014901161,,25.700000762939453,6.599999904632568,,,,1.7000000476837158,,,,,,,,0.0049999998882412,2017,1.600000023841858,,,,-22.3206,-48.7303,423.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-12-14,2017-12-18,rio,Pseudoanabaena sp.,5544,RIO TIETE,21504000,SAO PAULO,,,25.0,7.059999942779541,16.0,,,4.0,5.639999866485596,,132.0,126.0,,0.1000000014901161,,,2017,42.31999969482422,,,,-23.8447,-46.6556,740.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-12-12,2017-12-18,rio,Pseudoanabaena sp.,5544,RIO TIETE,21453000,SALTO,,,,,16.0,,,14.0,7.099999904632568,,236.0,202.0,,12.300000190734863,,,2017,33.900001525878906,,,,-23.2003,-47.3356,480.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-12-07,2017-12-18,rio,Pseudoanabaena sp.,5544,RIO TIETE,21392000,PIRAPORA DO BOM JESUS,,,,,,,,47.0,,,,,,,,,2017,,,,,-23.3908,-46.9947,699.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-12-13,2017-12-18,rio,Pseudoanabaena sp.,5544,RIO TIETE,21029000,ARACATUBA,35.0,22.0,25.200000762939453,7.099999904632568,,,,,,,,,0.8700000047683716,,,0.0199999995529651,2017,2.0,,,,-20.8378,-50.85,329.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-12-12,2017-12-18,rio,Pseudoanabaena sp.,5544,RIO TIETE,21022000,ANDRADINA,6.0,31.0,26.899999618530277,7.300000190734863,,,,,,,,,0.5,,,0.0399999991059303,2017,1.0,,,,-20.6711,-51.2986,,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-12-13,2017-12-18,rio,Pseudoanabaena sp.,5544,RIO TIETE,21376000,PEREIRA BARRETO,30.0,30.0,26.100000381469727,7.300000190734863,,,,,,,,,0.5,,,0.0299999993294477,2017,3.0,,,,-20.6733,-51.1464,329.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-12-12,2017-12-18,rio,Pseudoanabaena sp.,5544,RIO TIETE,21078500,BREJO ALEGRE,0.0,24.0,27.0,7.099999904632568,,188.0,,2.0,4.5,,,,0.5,,,0.0299999993294477,2017,1.0,,,,-21.1275,-50.2175,330.0,0
SUDESTE,SP,SAO BERNARDO DO CAMPO,354870,2017-09-13,2017-09-18,represa,Aphanocapsa sp.,1134,RIO GRANDE DE UBATUBA,21555000,UBATUBA,,,20.0,7.800000190734863,24.0,,,3.0,6.099999904632568,,37500.0,35800.0,,0.5,,,2017,,,,,-23.4317,-45.0703,2.0,0
SUDESTE,SP,SAO BERNARDO DO CAMPO,354870,2017-09-13,2017-09-18,represa,Dolichospermum sp.,34,RIO GRANDE DE UBATUBA,21555000,UBATUBA,,,20.0,7.800000190734863,24.0,,,3.0,6.099999904632568,,37500.0,35800.0,,0.5,,,2017,,,,,-23.4317,-45.0703,2.0,0
SUDESTE,SP,SAO BERNARDO DO CAMPO,354870,2017-09-13,2017-09-25,represa,Aphanocapsa sp.,1202,RIO GRANDE DE UBATUBA,21555000,UBATUBA,,,20.0,7.800000190734863,24.0,,,3.0,6.099999904632568,,37500.0,35800.0,,0.5,,,2017,,,,,-23.4317,-45.0703,2.0,0
SUDESTE,SP,SAO BERNARDO DO CAMPO,354870,2017-11-27,2017-12-11,represa,Cylindrospermopsis sp.,47,RIO GRANDE DE UBATUBA,21555000,UBATUBA,,,22.0,7.300000190734863,9.0,,,3.0,5.099999904632568,,19000.0,17500.0,,0.5,,,2017,2.4100000858306885,,,,-23.4317,-45.0703,2.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-11-29,2017-12-05,rio,Planktothrix sp.,5,RIO CLARO,21440000,RIO CLARO,,,22.899999618530277,6.800000190734863,26.0,,,2.0,6.400000095367432,,67.0,51.0,,0.1000000014901161,,,2017,1.0,,,,-22.4092,-47.5903,580.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-11-29,2017-12-05,rio,Planktothrix sp.,5,RIO CLARO,21106000,CARAGUATATUBA,,,23.0,6.0,13.0,,,3.0,7.199999809265137,,50.0,50.0,,0.5,,,2017,1.5,,,,-23.7025,-45.4889,3.0,0
SUDESTE,SP,BIRITIBA-MIRIM,350660,2017-11-29,2017-12-05,rio,Planktothrix sp.,5,RIO CLARO,21440000,RIO CLARO,,,22.100000381469727,7.199999809265137,25.0,,,4.0,7.199999809265137,,245.0,241.0,,0.3700000047683716,,,2017,1.0,,,,-22.4794,-47.5864,551.0,0
SUDESTE,SP,SALESOPOLIS,354500,2017-11-22,2017-12-05,rio,Pseudoanabaena sp.,99,RIO TIETE,21392000,PIRAPORA DO BOM JESUS,,,,,48.0,,,21.0,3.7200000286102295,,288.0,242.0,,11.199999809265137,,,2017,10.6899995803833,,,,-23.3819,-47.0297,663.0,0
