SolTotais,SolSuspensaoTotais,DBO,NitrogenioAmoniacal,Nitratos,Clorofila,FosforoTotal,SolDissolvidosTotais,Turbidez,OD,pH,Delta T,TempAmostra,TempAr,UF,Resultado,Unidade,Categoria do manancial superficial,Nome do manancial superficial,Date_x,Município,Classe,Verao,Outono,Inverno,Primavera,Região Geográfica,Outlier
83.0,26.0,2.799999952316284,0.1099999994039535,0.800000011920929,0.800000011920929,0.1199999973177909,57.0,25.89999961853028,7.400000095367432,6.5,4.899999618530272,15.100000381469728,20.0,MG,0.0,Aphanocapsa sp.,rio,RIO CAMANDUCAIA,2019-08-12,EXTREMA,0,0,0,1,0,SUDESTE,1
27.0,3.0,2.0,0.1000000014901161,0.1700000017881393,0.800000011920929,0.0199999995529651,24.0,2.869999885559082,8.0,6.0,2.0,14.0,16.0,MG,0.0,Aphanocapsa sp.,rio,RIO CAMANDUCAIA,2019-08-12,EXTREMA,0,0,0,1,0,SUDESTE,1
116.0,76.0,2.0,0.5299999713897705,0.8199999928474426,0.800000011920929,0.0900000035762786,40.0,44.5,8.399999618530273,7.099999904632568,4.100000381469727,16.899999618530273,21.0,MG,0.0,Aphanocapsa sp.,rio,RIO CAMANDUCAIA,2020-05-19,EXTREMA,0,0,1,0,0,SUDESTE,1
34.0,8.0,2.0,0.1000000014901161,0.3499999940395355,0.800000011920929,0.0700000002980232,26.0,2.3399999141693115,8.100000381469727,7.699999809265137,1.0999994277954084,14.600000381469728,15.699999809265137,MG,0.0,Aphanocapsa sp.,rio,RIO CAMANDUCAIA,2020-05-19,EXTREMA,0,0,1,0,0,SUDESTE,1
105.0,6.0,20.799999237060547,0.0299999993294477,0.3880000114440918,0.0099999997764825,0.1019999980926513,99.43000030517578,5.650000095367432,6.730000019073486,6.75,3.3299999237060547,25.670000076293945,29.0,MG,0.0,Aphanocapsa sp.,rio,FUNDO,2022-03-08,ANTONIO CARLOS,0,1,0,0,0,SUDESTE,1
81.9000015258789,9.5,27.600000381469727,0.0299999993294477,0.1840000003576278,0.0099999997764825,0.0839999988675117,72.43000030517578,30.559999465942383,6.730000019073486,6.489999771118164,2.4099998474121094,27.59000015258789,30.0,MG,0.0,Aphanocapsa sp.,rio,FUNDO,2022-03-08,ANTONIO CARLOS,0,1,0,0,0,SUDESTE,1
113.62999725341795,15.0,5.900000095367432,0.0299999993294477,0.296999990940094,0.0099999997764825,0.0370000004768371,98.62999725341795,8.829999923706055,6.949999809265137,6.789999961853027,3.860000610351559,25.13999938964844,29.0,MG,0.0,Aphanocapsa sp.,rio,FUNDO,2021-03-02,ANTONIO CARLOS,0,1,0,0,0,SUDESTE,1
77.80999755859375,7.0,15.600000381469728,0.0299999993294477,0.3059999942779541,0.0199999995529651,0.0370000004768371,70.80999755859375,11.039999961853027,7.369999885559082,6.349999904632568,2.549999237060547,27.450000762939453,30.0,MG,0.0,Aphanocapsa sp.,rio,FUNDO,2021-03-02,ANTONIO CARLOS,0,1,0,0,0,SUDESTE,1
166.0,86.0,0.5,0.0299999993294477,0.1770000010728836,0.0099999997764825,0.2370000034570694,80.26000213623047,77.05000305175781,7.090000152587891,6.880000114440918,-0.7199993133544886,24.71999931335449,24.0,MG,0.0,Aphanocapsa sp.,rio,FUNDO,2022-06-07,ANTONIO CARLOS,0,0,1,0,0,SUDESTE,1
58.70000076293945,10.0,8.100000381469727,0.0299999993294477,0.1710000038146972,0.550000011920929,0.2290000021457672,48.709999084472656,114.12000274658205,7.429999828338623,6.349999904632568,4.170000076293949,25.82999992370605,30.0,MG,0.0,Aphanocapsa sp.,rio,FUNDO,2022-06-07,ANTONIO CARLOS,0,0,1,0,0,SUDESTE,1
107.0,6.0,0.5,0.0599999986588954,0.257999986410141,0.5400000214576721,0.0799999982118606,101.0,5.630000114440918,6.199999809265137,7.980000019073486,3.420000076293949,25.57999992370605,29.0,MG,0.0,Aphanocapsa sp.,rio,FUNDO,2019-03-26,ANTONIO CARLOS,0,0,1,0,0,SUDESTE,1
83.0,11.0,0.5,0.0399999991059303,0.296999990940094,1.1100000143051147,0.0700000002980232,72.0,10.289999961853027,6.539999961853027,6.659999847412109,4.290000915527344,27.709999084472656,32.0,MG,0.0,Aphanocapsa sp.,rio,FUNDO,2019-03-26,ANTONIO CARLOS,0,0,1,0,0,SUDESTE,1
180.0,6.0,2.700000047683716,0.1700000017881393,9.8100004196167,1.2015000581741333,0.1400000005960464,174.0,6.380000114440918,6.0,6.699999809265137,2.3000011444091726,21.89999961853028,24.200000762939453,MG,0.0,Aphanocapsa sp.,rio,RIO XOPOTO,2019-08-22,ALTO RIO DOCE,0,0,0,1,0,SUDESTE,1
175.0,45.0,2.0,0.4600000083446502,3.3299999237060547,1.5256999731063845,0.1800000071525573,130.0,106.0,7.400000095367432,7.300000190734863,2.8999996185302734,24.200000762939453,27.100000381469727,MG,0.0,Aphanocapsa sp.,rio,RIO XOPOTO,2019-11-25,ALTO RIO DOCE,0,0,0,0,1,SUDESTE,1
230.0,121.0,2.0,0.1299999952316284,0.8799999952316284,3.337500095367432,0.1400000005960464,109.0,166.0,8.399999618530273,6.300000190734863,-0.5999984741210938,26.299999237060547,25.700000762939453,MG,0.0,Aphanocapsa sp.,rio,RIO XOPOTO,2020-02-18,ALTO RIO DOCE,0,1,0,0,0,SUDESTE,1
