Clorofila,DBO,SolDissolvidosTotais,NitrogenioAmoniacal,FosforoTotal,Nitratos,Turbidez,OD,pH,Delta T,TempAmostra,TempAr,UF,Resultado,Unidade,Categoria do manancial superficial,Nome do manancial superficial,Date_x,Município,Classe,Verao,Outono,Inverno,Primavera,Região Geográfica,Outlier
0.5600000023841858,2.0,99.0,0.1000000014901161,0.0599999986588954,0.5199999809265137,15.0,9.5,7.360000133514404,4.100000381469727,14.0,18.100000381469727,RS,0.0,Geitlerinema sp.,rio,RIO TAQUARI,2021-05-30,VENANCIO AIRES,0,0,1,0,0,SUL,1
0.800000011920929,2.799999952316284,57.0,0.1099999994039535,0.1199999973177909,0.800000011920929,25.89999961853028,7.400000095367432,6.5,4.899999618530272,15.100000381469728,20.0,MG,0.0,Geitlerinema sp.,rio,RIO CAMANDUCAIA,2019-08-12,EXTREMA,0,0,0,1,0,SUDESTE,1
0.800000011920929,2.0,40.0,0.5299999713897705,0.0900000035762786,0.8199999928474426,44.5,8.399999618530273,7.099999904632568,4.100000381469727,16.899999618530273,21.0,MG,0.0,Geitlerinema sp.,rio,RIO CAMANDUCAIA,2020-05-19,EXTREMA,0,0,1,0,0,SUDESTE,1
0.800000011920929,2.0,24.0,0.1000000014901161,0.0199999995529651,0.1700000017881393,2.869999885559082,8.0,6.0,2.0,14.0,16.0,MG,0.0,Geitlerinema sp.,rio,RIO CAMANDUCAIA,2019-08-12,EXTREMA,0,0,0,1,0,SUDESTE,1
0.800000011920929,2.0,26.0,0.1000000014901161,0.0700000002980232,0.3499999940395355,2.3399999141693115,8.100000381469727,7.699999809265137,1.0999994277954084,14.600000381469728,15.699999809265137,MG,0.0,Geitlerinema sp.,rio,RIO CAMANDUCAIA,2020-05-19,EXTREMA,0,0,1,0,0,SUDESTE,1
0.0099999997764825,20.799999237060547,99.43000030517578,0.0299999993294477,0.1019999980926513,0.3880000114440918,5.650000095367432,6.730000019073486,6.75,3.3299999237060547,25.670000076293945,29.0,MG,0.0,Geitlerinema sp.,rio,FUNDO,2022-03-08,ANTONIO CARLOS,0,1,0,0,0,SUDESTE,1
0.0099999997764825,27.600000381469727,72.43000030517578,0.0299999993294477,0.0839999988675117,0.1840000003576278,30.559999465942383,6.730000019073486,6.489999771118164,2.4099998474121094,27.59000015258789,30.0,MG,0.0,Geitlerinema sp.,rio,FUNDO,2022-03-08,ANTONIO CARLOS,0,1,0,0,0,SUDESTE,1
0.0099999997764825,5.900000095367432,98.62999725341795,0.0299999993294477,0.0370000004768371,0.296999990940094,8.829999923706055,6.949999809265137,6.789999961853027,3.860000610351559,25.13999938964844,29.0,MG,0.0,Geitlerinema sp.,rio,FUNDO,2021-03-02,ANTONIO CARLOS,0,1,0,0,0,SUDESTE,1
0.0199999995529651,15.600000381469728,70.80999755859375,0.0299999993294477,0.0370000004768371,0.3059999942779541,11.039999961853027,7.369999885559082,6.349999904632568,2.549999237060547,27.450000762939453,30.0,MG,0.0,Geitlerinema sp.,rio,FUNDO,2021-03-02,ANTONIO CARLOS,0,1,0,0,0,SUDESTE,1
1.4900000095367432,4.900000095367432,102.08000183105467,0.0299999993294477,0.0370000004768371,0.2829999923706054,8.869999885559082,6.110000133514404,7.550000190734863,4.549999237060547,25.450000762939453,30.0,MG,0.0,Geitlerinema sp.,rio,FUNDO,2020-01-21,ANTONIO CARLOS,0,1,0,0,0,SUDESTE,1
0.0099999997764825,44.70000076293945,81.33000183105469,0.0299999993294477,0.0370000004768371,0.0869999974966049,9.739999771118164,4.570000171661377,6.519999980926514,5.370000839233398,27.6299991607666,33.0,MG,0.0,Geitlerinema sp.,rio,FUNDO,2020-01-21,ANTONIO CARLOS,0,1,0,0,0,SUDESTE,1
1.2899999618530271,2.700000047683716,88.16000366210938,0.0299999993294477,0.0900000035762786,2.0899999141693115,20.190000534057617,7.179999828338623,7.28000020980835,3.6499996185302734,24.350000381469727,28.0,MG,0.0,Geitlerinema sp.,rio,FUNDO,2019-10-15,ANTONIO CARLOS,0,0,0,0,1,SUDESTE,1
3.890000104904175,9.300000190734863,69.58999633789062,0.0299999993294477,0.0599999986588954,1.2799999713897705,17.790000915527344,7.570000171661377,6.559999942779541,5.040000915527344,25.959999084472656,31.0,MG,0.0,Geitlerinema sp.,rio,FUNDO,2019-10-15,ANTONIO CARLOS,0,0,0,0,1,SUDESTE,1
0.5400000214576721,0.5,101.0,0.0599999986588954,0.0799999982118606,0.257999986410141,5.630000114440918,6.199999809265137,7.980000019073486,3.420000076293949,25.57999992370605,29.0,MG,0.0,Geitlerinema sp.,rio,FUNDO,2019-03-26,ANTONIO CARLOS,0,0,1,0,0,SUDESTE,1
1.1100000143051147,0.5,72.0,0.0399999991059303,0.0700000002980232,0.296999990940094,10.289999961853027,6.539999961853027,6.659999847412109,4.290000915527344,27.709999084472656,32.0,MG,0.0,Geitlerinema sp.,rio,FUNDO,2019-03-26,ANTONIO CARLOS,0,0,1,0,0,SUDESTE,1
0.0099999997764825,0.5,80.26000213623047,0.0299999993294477,0.2370000034570694,0.1770000010728836,77.05000305175781,7.090000152587891,6.880000114440918,-0.7199993133544886,24.71999931335449,24.0,MG,0.0,Geitlerinema sp.,rio,FUNDO,2022-06-07,ANTONIO CARLOS,0,0,1,0,0,SUDESTE,1
